issue number,issue title,created at,closed at,state,number of comments
447,Lighthouse #6759 - API document incorrect,2011-05-07 22:56:29,2011-05-07 22:58:40,closed,1
450,Fix failing test in xml_mini_test.rb,2011-05-07 23:14:32,2011-05-07 23:15:22,closed,1
453,Rails fails to start (rails master + sprockets master),2011-05-08 08:25:05,2011-05-08 21:24:55,closed,24
462,scss,2011-05-09 08:48:15,2011-05-09 09:05:17,closed,1
466,Can't start application on edge,2011-05-09 13:07:26,2011-05-09 13:14:46,closed,0
470,Stale data in Identity Map causes data to be destroyed.,2011-05-09 19:46:35,2011-05-10 13:46:24,closed,2
472,"""loaded_#{association}?"" method removed from belongs_to association",2011-05-09 20:21:22,2011-05-11 07:57:35,closed,6
473,[Feature proposal] Convention over Configuration + i18n for flashes,2011-05-09 21:23:08,2011-10-09 03:28:08,closed,7
474,Disable identity_map by default. Document it is safe for read.,2011-05-09 22:43:27,2011-05-10 09:43:29,closed,0
475,content_for not working as expected?,2011-05-10 01:44:13,2011-08-12 13:20:09,closed,10
476,CookieStore session id being shared across different users,2011-05-10 01:56:41,2011-05-17 21:45:01,closed,53
477,Wrap Parameters Fails With Namespacing,2011-05-10 04:53:00,2011-05-10 22:09:22,closed,8
478,Mass assignment weirdness,2011-05-10 08:16:38,2011-05-10 08:30:57,closed,7
479,Mass assignment protection prevents associating new records,2011-05-10 08:33:57,2011-05-10 09:18:42,closed,0
480,Mass assignment weirdness pt 2,2011-05-10 08:48:21,2011-05-10 09:18:42,closed,0
481,Mass assignment warning when building associated model,2011-05-10 09:27:19,2011-05-12 22:29:57,closed,9
483,ActiveRecord::SessionStore fails when using whitelist attributes,2011-05-10 12:58:23,2011-05-10 14:23:42,closed,5
485,Severe performance issue in Rails 3.0.x PostgreSQLAdapter#select under Ruby 1.9.2,2011-05-10 15:09:19,2011-05-10 15:50:22,closed,4
486,ArgumentError: true was not recognised for preload ,2011-05-10 15:51:48,2011-05-10 15:58:06,closed,1
488,Fix .js and .css templates generated with the application,2011-05-10 15:57:20,2011-05-10 22:53:02,closed,0
489,.sass-cache in default .gitignore file,2011-05-10 15:59:02,2011-05-10 22:51:39,closed,3
497,Encoding::UndefinedConversionError killed rails runner,2011-05-10 18:26:13,2011-05-10 20:23:27,closed,3
502,ARes should now default to JSON (as scaffold changed),2011-05-10 23:02:51,2011-05-18 13:23:22,closed,3
508,Default scope on the middle relation of has_one :through => breaks it,2011-05-11 06:00:53,2011-05-11 07:57:36,closed,7
510,File Name of jQuery Extenion ,2011-05-11 09:07:46,2011-05-11 09:08:01,closed,0
511,rails 3.1 raise error in production env,2011-05-11 09:14:27,2011-05-21 16:55:45,closed,13
517,upgrade to rails 3.0.6 routing errors in acceptance tests,2011-05-11 14:58:03,2011-05-11 17:01:16,closed,4
518,Can't do rake db:migrate,2011-05-11 15:19:35,2011-05-11 19:11:25,closed,1
520,Has many through association with :order causes a SQL error with PostgreSQL,2011-05-11 15:53:49,2012-03-08 23:16:30,closed,16
522,Support for joins in ActiveRecord::Relation#update_all,2011-05-11 19:48:35,2011-08-15 22:10:46,closed,23
525,Sprockets require_tree,2011-05-12 09:32:47,2011-05-12 13:49:25,closed,1
526,Polymorphic type fields not set in Rails 3.1.0.beta1 with Identity Map enabled,2011-05-12 11:46:20,2011-05-17 20:52:59,closed,8
529,Mounted engines don't get route segment values,2011-05-12 17:40:39,2011-05-15 12:19:26,closed,8
533,Default scope breaks working of has_many :through,2011-05-12 20:15:35,2012-03-29 00:20:14,closed,12
534,has and belongs to many join tables do not allow primary keys,2011-05-12 22:38:47,2011-06-10 14:30:57,closed,6
535,Rails 3 Forces HTML Escape of Forms,2011-05-12 23:17:48,2011-05-13 02:54:14,closed,1
539,joins across tables in different databases generates invalid SQL,2011-05-13 03:14:07,2011-05-25 15:52:13,closed,9
543,Duplicate joins on a has_many :through,2011-05-13 13:28:42,2011-05-14 19:36:31,closed,7
544,AR should handle timestamp values of 'Infinity',2011-05-13 14:52:39,2011-05-13 20:05:19,closed,2
545,ActionDispatch::RailsMetaStore returns corrupt Rack responses with MemoryStore,2011-05-13 15:36:13,2011-05-17 21:33:53,closed,19
546,can't set default_url_options for integration tests,2011-05-13 16:41:10,2012-05-10 20:35:51,closed,33
548,Empty CDATA in Hash.from_xml,2011-05-13 20:48:25,2011-05-13 22:13:33,closed,1
552,Polymorphic associations within abstract class not assigned the right type,2011-05-14 06:02:19,2011-05-22 20:28:28,closed,7
555,bundler raises an exception on plugin generation,2011-05-14 10:23:34,2011-05-17 22:29:53,closed,3
557,symbol for has_many association has broken if ActiveRecord::Base.pluralize_table_names  is false,2011-05-14 11:17:47,2011-05-14 21:02:19,closed,5
558,ActionController::ParamsWrapper conflicting with similarly named abstract model,2011-05-14 14:27:29,2011-05-15 11:49:06,closed,10
559,Deprecate ActiveSupport::SecureRandom,2011-05-14 19:01:37,2011-05-23 19:46:24,closed,1
562,actionpack test fails under rack-mount 0.8.0,2011-05-14 23:05:59,2011-05-18 16:03:07,closed,2
565,SQLite3::ConstraintException - is it possible to be more specific?,2011-05-15 08:26:39,2011-10-09 09:31:23,closed,4
566,Singularize edge case where it doesn't return to the correct singular ,2011-05-15 11:32:12,2011-05-15 11:46:45,closed,2
567,ParamsWrapper should use a well-defined API and not rely on AR methods,2011-05-15 11:51:17,2011-05-15 23:12:32,closed,2
569,ActiveRecord test failing under 1.9.2-p180,2011-05-15 17:46:37,2011-05-16 07:50:00,closed,3
571,ActiveRecord::Base.silence method causes Logger level set to ERROR in thread-safe mode,2011-05-15 19:37:36,2012-09-15 06:05:51,closed,8
574,Unsigned integers for MySQL,2011-05-16 02:52:38,2011-05-21 15:11:35,closed,11
575,Inflector.constantize uses eval which is slow in JRuby and Ruby 1.9,2011-05-16 02:54:18,2011-05-21 15:11:45,closed,29
576,ActiveRecord to_json doesn't invoke :include's to_json,2011-05-16 02:54:30,2011-05-21 15:11:45,closed,46
577,Rails 2.1.0: mod_security reports a Response Splitting Attack,2011-05-16 02:55:25,2011-05-21 15:11:45,closed,6
578,validates_inclusion/exclusion_of should also accept a symbol or proc as the :in/:within option,2011-05-16 02:55:28,2011-05-21 15:11:46,closed,10
579,Postgres ActiveRecord adapter merges UTF8 encoding as symbol instead of string in create_database,2011-05-16 02:55:34,2011-05-21 15:11:46,closed,6
580,"AttributeDecorator, a new take on aggregation.",2011-05-16 02:55:37,2011-05-21 15:11:46,closed,24
581,Serialized fields + sqlite :binary columns = exception,2011-05-16 02:57:25,2011-05-21 15:11:46,closed,6
582,table_name_prefix with db:schema:load causes double prefixes,2011-05-16 02:57:28,2011-05-21 15:11:46,closed,12
583,Count calculations should respect scoped selects,2011-05-16 02:57:32,2011-05-21 15:11:46,closed,18
584,check_box_tag should behave like radio_button_tag,2011-05-16 02:57:41,2011-05-21 15:11:46,closed,7
585,Preloading more than 1000 associated records causes ActiveRecord::StatementInvalid when using Oracle,2011-05-16 02:57:44,2013-03-01 19:45:48,closed,44
586,Add support for before and after add/remove callbacks to belongs_to associations,2011-05-16 02:58:40,2013-04-08 16:22:21,closed,24
587,ActionView::Helpers::TextHelper#truncate should understand HTML encoding.,2011-05-16 02:58:42,2011-05-21 15:11:46,closed,7
588,Preserve XML Attributes with Hash#from_xml and ActiveResource,2011-05-16 02:58:47,2011-05-21 15:11:47,closed,26
589,Adds an :on option to ActiveRecord observers,2011-05-16 02:59:37,2011-05-21 15:11:47,closed,11
590,truncate with HTML ellipsis character entity,2011-05-16 02:59:41,2011-05-21 15:11:47,closed,4
591,Custom counter caches not being used,2011-05-16 03:03:32,2011-05-21 15:11:47,closed,10
592,ActiveResource::CustomMethods#put should behave like #post for body encoding,2011-05-16 03:03:37,2011-05-21 15:11:48,closed,6
593,with_scope should merge complex includes,2011-05-16 03:03:41,2011-05-16 03:11:22,closed,20
594,Export OrderedHash to XML and JSON,2011-05-16 03:03:48,2011-05-21 15:11:48,closed,14
595,Command to generate nested resource,2011-05-16 03:08:39,2011-05-16 03:11:47,closed,2
596,Numeric::Time is not consistent giving confusing results to Duration#inspect,2011-05-16 03:08:41,2011-05-21 15:11:48,closed,2
597,"script/console execs irb, causes double process-launch and limits other impls",2011-05-16 03:11:32,2011-05-21 15:11:49,closed,27
598,ActiveSupport lacks beginning_of_hour,2011-05-16 03:11:42,2011-05-21 15:11:49,closed,11
599,Please add :position => :replace to link_to_remote (and family),2011-05-16 03:11:47,2011-05-16 03:18:14,closed,9
600,i18n fails with multibyte Strings in Ruby 1.9 (similar to #2038),2011-05-16 03:11:50,2011-05-16 03:19:09,closed,83
601,"Multipart forms ""bad content body""",2011-05-16 03:13:07,2011-05-16 03:20:45,closed,4
602,AssociationCollection#destroy should only delete join table records,2011-05-16 03:13:10,2011-05-21 15:11:49,closed,36
603,named_scope and nested order clauses,2011-05-16 03:14:05,2011-05-16 03:20:55,closed,9
604,config.reload_plugins = true only works in environment.rb,2011-05-16 03:14:09,2011-05-16 03:21:13,closed,4
605,named_scope doesn't override default_scope's :order key,2011-05-16 03:14:10,2011-05-16 03:21:39,closed,18
606,Predictable Table Aliases in Joins,2011-05-16 03:20:05,2011-05-21 15:11:49,closed,13
607,new smart render misses arguments,2011-05-16 03:20:14,2011-05-16 03:23:47,closed,12
608,Rails 2.3.2 sessions problem,2011-05-16 03:20:24,2011-05-16 03:24:31,closed,16
609,[PATCH] Make path to tmp directory configurable,2011-05-16 03:20:35,2011-05-21 15:11:49,closed,18
610,Rendering Text with a Proc fails in testing,2011-05-16 03:20:51,2011-05-16 03:24:42,closed,9
611,[PATCH] ActionController::Integration::Session no longer mangles multiparameter attribute params when processing multipart requests,2011-05-16 03:21:15,2011-05-16 03:24:51,closed,13
612,"Rails 2.3 JSON ""put"" request routing is broken",2011-05-16 03:21:25,2011-05-21 15:11:50,closed,29
613,validates_uniqueness_of is horribly inefficient in mysql,2011-05-16 03:21:40,2011-05-21 15:11:50,closed,28
614,[PATCH] Requiring ActiveSupport::TestCase in a vanilla test fails to run the test case ,2011-05-16 03:22:20,2011-05-21 15:11:50,closed,3
615,hash#to_xml :dasherize defaults to true,2011-05-16 03:22:27,2011-05-21 15:11:52,closed,22
616,"When using ActiveRecord::Associations outside of Rails, a NameError is thrown",2011-05-16 03:22:39,2011-05-21 15:11:52,closed,12
617,Bug with polymorphic has_one :as pointing to STI record,2011-05-16 03:23:08,2012-06-15 21:16:33,closed,31
618,validations not called when model updating using nested attributes,2011-05-16 03:23:26,2011-05-21 15:11:52,closed,19
619,Add support for nested SQL queries,2011-05-16 03:23:38,2011-05-21 15:11:52,closed,5
620,xhr clobbers id param on non-REST routes,2011-05-16 03:23:45,2011-05-21 15:11:52,closed,10
621,ActiveSupport gem should depend on builder (and i18n?),2011-05-16 03:23:54,2011-05-21 15:11:52,closed,14
622,ActionMailer and client encoding trouble,2011-05-16 03:24:23,2011-05-21 15:11:52,closed,2
623,add verbose output to rails startup if RAILS_VERBOSE_STARTUP env is true,2011-05-16 03:24:29,2011-05-21 15:11:52,closed,5
624,Calculations break with multi-column :select argument,2011-05-16 03:24:36,2011-05-21 15:11:52,closed,9
625,[PATCH] sqlite3 adapter drops :decimal columns precision & scale when migration tries to alter them,2011-05-16 03:24:44,2011-05-21 15:11:52,closed,21
626,Custom counter_cache is not used when using collection.size method,2011-05-16 03:24:57,2011-05-21 15:11:52,closed,18
627,quoted_date converts time objects to default_timezone,2011-05-16 03:25:28,2011-05-21 15:11:52,closed,33
628,polymorphic_url should handle STI better,2011-05-16 03:26:04,2011-05-21 15:11:53,closed,12
629,Rails Single Table Inheritance loading child classes ,2011-05-16 03:26:14,2011-05-16 03:31:27,closed,2
630,"simple ""rack test"" fails",2011-05-16 03:26:20,2011-05-16 03:32:43,closed,10
631,MemCacheStore allows for arbitrary client generated session_ids?,2011-05-16 03:26:29,2011-05-16 03:33:54,closed,6
632,"Active Record Helper form(record_name, options={}) fails (but simple fix)",2011-05-16 03:26:36,2011-05-16 03:36:58,closed,9
633,ActiveRecord::MissingAttributeError after update to rails v 2.3.4,2011-05-16 03:26:44,2011-05-21 15:11:53,closed,35
634,[ActiveRecord] create(:association_id => @object.id) vs create(:association_id => @object),2011-05-16 03:27:26,2011-05-21 15:11:53,closed,13
635,"Problem with 2.3.4, habtm and Slony Replication on Postgresql, related to #2086",2011-05-16 03:27:37,2011-05-21 15:11:53,closed,3
636,[Patch] Parsing an xml file with multiple records and extra attributes (besides type) fails,2011-05-16 03:27:45,2011-05-21 15:11:54,closed,7
637,change_column carries over default when it can't be carried,2011-05-16 03:27:54,2011-05-21 15:11:54,closed,19
638,Merge Dispatcher and Middleware in Application object,2011-05-16 03:28:21,2011-05-16 03:38:38,closed,6
639,Postgres data corruption for hexadecimal strings composed of zeros and ones destined for bitstring columns,2011-05-16 03:28:28,2011-05-21 15:11:55,closed,10
640,ActiveSupport::HTML,2011-05-16 03:28:37,2011-05-21 15:11:55,closed,7
641,Refactoring of attributes/typecasting behavior,2011-05-16 03:28:44,2011-05-21 15:11:55,closed,17
642,current child index on fields_for nested attributes,2011-05-16 03:28:55,2011-05-21 15:11:55,closed,15
643,ActionController::Caching::Sweeper controller instance is not thread safe,2011-05-16 03:29:04,2011-05-21 15:11:55,closed,9
644,Touch called on parent destroy,2011-05-16 03:29:12,2011-05-21 15:11:55,closed,5
645,Alternative to validates_uniqueness_of using db constraints,2011-05-16 03:29:33,2011-05-21 15:11:56,closed,28
646,Reloading a new record results in an inconsistent state,2011-05-16 03:29:49,2011-05-21 15:11:56,closed,22
647,[PATCH] Add conditional counter cache,2011-05-16 03:30:02,2011-05-21 15:11:56,closed,12
648,MySQL adapter should not dump views as create table statements for db:schema:dump,2011-05-16 03:30:31,2011-05-21 15:11:56,closed,12
649,Add limit functionality to find first and last,2011-05-16 03:30:41,2011-05-21 15:11:56,closed,14
650,More Details in /rails/info/properties,2011-05-16 03:30:59,2011-05-21 15:11:57,closed,8
651,redirect_to skips generation of headers (security problem),2011-05-16 03:31:07,2011-05-21 15:11:57,closed,11
652,Add support for action-cache json requests wrapped in a callback (jsonp),2011-05-16 03:31:21,2011-05-21 15:11:57,closed,7
653,inverse_of causes infinite loop with accepts_nested_attributes_for,2011-05-16 03:31:31,2011-05-21 15:11:57,closed,9
654,On-the-fly created named-scope raises 'undefined method `call' when called from subclass with cache_classes = true,2011-05-16 03:31:43,2011-05-21 15:11:57,closed,15
655,[PATCH] Add :full_message option to validations,2011-05-16 03:31:56,2011-05-16 03:38:34,closed,84
656,distance_of_time_in_words displays Rational instead of integer,2011-05-16 03:32:58,2011-05-21 15:11:58,closed,9
657,"Rails 3.0.0-pre - stylesheet_link_tag, javascript_include_tag cache fails when using File.atomic_write: Invalid cross-device link",2011-05-16 03:33:05,2011-05-21 15:11:58,closed,8
658,MySQL adapter silently truncates strings with 4 byte UTF-8 chars,2011-05-16 03:33:45,2011-05-21 15:11:58,closed,4
659,ActiveRecord::SessionStore allows blank session_id,2011-05-16 03:33:52,2011-05-21 15:11:58,closed,14
660,"Rails 3 - Windows Vista x64 - Error ""different prefix:"" - Two Hard Drives",2011-05-16 03:34:09,2011-05-21 15:11:58,closed,9
661,The rake tasks db:create and db:drop throws an error when the database.yml file is configured in a non default location.,2011-05-16 03:34:18,2011-05-21 15:11:58,closed,4
662,Make change_table execute changes in batch,2011-05-16 03:34:25,2011-05-21 15:11:58,closed,3
663,create and find_or_create_by behaves differently on model with no :id column,2011-05-16 03:34:31,2011-05-21 15:11:58,closed,2
664,uninitialized constant ActiveRecord::Base::MysqlCompat,2011-05-16 03:34:38,2011-05-16 03:39:28,closed,7
665,"""rails runner"" can't be used in shebang lines",2011-05-16 03:34:45,2011-05-21 15:11:59,closed,30
666,Tweaks to make ActiveRecord Fiber-friendly,2011-05-16 03:34:59,2011-05-21 15:11:59,closed,11
667,time_select not interpreting the multi-parameter correctly,2011-05-16 03:35:09,2011-05-16 15:00:15,closed,56
668,Add foreign key support to migrations and schema.rb dump,2011-05-16 03:35:58,2011-05-21 15:11:59,closed,9
669,"has_many through self join does not include table alias, so fails",2011-05-16 03:36:09,2011-05-21 15:11:59,closed,29
670,"dependent => :destroy deletes children before ""before_destroy"" is executed",2011-05-16 03:37:10,2011-05-21 15:12:00,closed,50
671,Can no longer rescue_from ActionController::RoutingError,2011-05-16 03:37:26,2012-04-30 00:54:56,closed,58
672,Adding a scope to ActiveRecord:Base throws undefined method exception,2011-05-16 03:37:51,2011-05-16 03:41:14,closed,3
673,"#as_json should only ever return a Hash, Array, Numeric, String, nil, true or false",2011-05-16 03:37:59,2011-05-21 15:12:01,closed,5
674,HABTM: ability to link and unlink records with :autosave => true,2011-05-16 03:39:51,2011-05-21 15:12:01,closed,17
675,render :text => proc { ... } regression,2011-05-16 03:40:24,2011-05-16 03:41:46,closed,17
676,Add methods for including start events with notified actions,2011-05-16 03:40:51,2011-05-16 03:41:41,closed,14
677,default_scope treats hashes and relations inconsistently when overwriting,2011-05-16 03:41:18,2011-05-16 03:42:15,closed,16
678,Habtm collection_singular_ids bug with :include,2011-05-16 03:41:50,2011-05-21 15:12:01,closed,2
679,rails_xss plugin not found on install,2011-05-16 03:41:59,2011-05-16 03:44:05,closed,6
680,before_validation_on_create and before_validation_on_update doesn't exist,2011-05-16 03:42:12,2011-05-16 03:43:57,closed,11
681,`rake test(:functionals|:units|....)` loads the environment twice,2011-05-16 03:42:31,2011-05-16 03:45:13,closed,9
682,url_for :escape parameter is ignored ,2011-05-16 03:42:47,2011-05-21 15:12:01,closed,22
683,Find ignore select when conditions & include are specfied,2011-05-16 03:43:25,2011-05-21 15:12:02,closed,0
684,"[PATCH] Fix attr_accessor_with_default causing TypeError ""singleton can't be dumped""",2011-05-16 03:43:31,2011-05-21 15:12:02,closed,3
685,rjs function tests fail,2011-05-16 03:43:40,2011-05-21 15:12:02,closed,8
686,Textarea input silently truncated in 2.3.8!,2011-05-16 03:43:56,2011-05-21 15:12:02,closed,19
687,ActionMailer is html escaping ampersand (&) in Urls in plain text messages,2011-05-16 03:44:26,2012-11-16 14:32:22,closed,47
688,i18n routes can't be recognized,2011-05-16 03:45:10,2011-05-21 15:12:02,closed,8
689,ActiveRecord :inverse_of doesn't have any effect,2011-05-16 03:45:27,2011-05-21 15:09:47,closed,6
690,schema_migrations already exists error on db:migrate with two-database app,2011-05-16 03:45:39,2011-05-21 15:12:02,closed,5
691,Fixing config.action_dispatch.x_sendfile_header default,2011-05-16 03:45:51,2011-05-21 15:12:02,closed,6
692,ActiveSupport::BufferedLogger and us-ascii message on ruby 1.9.x,2011-05-16 03:46:03,2011-05-16 03:47:02,closed,21
693,nested :joins scope can't be merged correctly,2011-05-16 03:46:44,2011-05-21 15:12:02,closed,1
694,_request_and_response.erb and diagnostics.erb take an increasingly long time to render in development with multiple SHOW TABLES calls,2011-05-16 03:46:52,2011-05-21 15:12:03,closed,25
695,accepts_nested_attributes_for not working more than one level deep?,2011-05-16 03:47:32,2011-05-16 03:47:59,closed,7
696,ActiveRecords SQLite3 binary data corruption around '%',2011-05-16 03:47:45,2011-05-21 15:12:03,closed,6
697,problem joining two models that establish_connection to the same db,2011-05-16 03:47:58,2011-05-21 15:12:03,closed,7
698,has_many: Dependent deleting does not work with STI,2011-05-16 03:48:14,2011-05-21 15:12:03,closed,9
699,Hide test_unit generators when other frameworks are assigned as test_framework,2011-05-16 03:48:35,2011-05-16 03:49:02,closed,8
701,MissingTemplate issues in Rails 3.0 due to badly set MIME types...,2011-05-16 03:48:53,2011-05-16 03:50:42,closed,23
702,"automatic client side validation with HTML 5 ""required"" attribute",2011-05-16 03:49:13,2011-05-21 15:12:03,closed,14
703,I18n locale may be reset to :en if called from a plugin/gem,2011-05-16 03:49:32,2011-05-21 15:12:03,closed,11
704,ActiveRecord::Calculations returns incorrect data when grouping by multiple fields,2011-05-16 03:49:54,2011-05-21 15:12:03,closed,5
705,Rmagick doesn't work,2011-05-16 03:50:05,2011-05-21 15:12:04,closed,1
706,assert_template wrong behavior for testing layout used to render template?,2011-05-16 03:50:12,2011-05-21 15:12:04,closed,16
707,ActiveModel Naming should take care of anonymous classes,2011-05-16 03:50:37,2011-05-21 15:12:04,closed,17
708,readonly option,2011-05-16 03:51:05,2011-05-21 15:12:04,closed,9
709,"""test:profile"" fails on 3.0.0.rc with Ruby 1.9.2",2011-05-16 03:51:24,2011-05-21 15:12:04,closed,3
710,Rails 3.0.0.RC responds strangely to empty Accept header,2011-05-16 03:51:33,2011-05-21 15:12:04,closed,10
711,Rake tasks db:create and db:drop are not consistent in behaviour,2011-05-16 03:51:51,2011-05-21 15:12:04,closed,9
712,layout with :only/:except options makes other actions render without layouts,2011-05-16 03:52:08,2011-05-21 15:12:04,closed,9
713,rake test:uncommitted raises undefined method map on String,2011-05-16 03:52:24,2011-05-21 15:12:04,closed,9
714,ActiveRecord::Serialization.serializable_hash uses base :only/:expect for included models,2011-05-16 03:52:40,2011-05-21 15:12:04,closed,9
715,Rails schema_format :sql should behave like schema_format :ruby,2011-05-16 03:52:54,2011-05-21 15:12:04,closed,33
716,validates_uniqueness_of should not trigger against a record marked for destruction,2011-05-16 03:53:28,2011-05-21 15:12:04,closed,9
717,rescue_action_in_public! no longer works,2011-05-16 03:53:49,2011-05-21 15:12:05,closed,2
718,Unable to manually run ActiveRecord object callbacks,2011-05-16 03:53:57,2011-05-21 15:12:05,closed,11
719,Not unique table/alias/ambiguous column name with chained named_scopes ,2011-05-16 03:54:17,2011-05-21 15:12:05,closed,2
720,scopes using `reorder` don't override `default_scope` order,2011-05-16 03:54:25,2011-05-21 15:12:05,closed,8
721,AbstractController#asset_path overrides routes helper,2011-05-16 03:54:40,2011-05-21 15:12:05,closed,14
722,Integrate support for Dalli,2011-05-16 03:55:03,2011-05-21 15:12:05,closed,18
723,ActiveResource error parsing support for new JSON errors serialization format,2011-05-16 03:55:32,2011-05-21 15:12:05,closed,4
724,Patch: STI + Join Model + Polymorphic Associations works now,2011-05-16 03:55:44,2011-05-21 15:12:05,closed,24
725,db tasks do not work with jdbcpostgresql,2011-05-16 03:56:36,2011-05-21 15:12:07,closed,11
726,Eager loading a nested association with conditions or order eager loads the wrong associated records,2011-05-16 03:56:54,2011-05-21 15:12:07,closed,16
727,validates_associated throws 'can't modify frozen object' error,2011-05-16 03:57:19,2011-05-21 15:12:07,closed,3
728,Route generation error with :defaults and :via options,2011-05-16 03:57:26,2011-05-21 15:12:07,closed,8
729,Ruby 1.9 -Ku incompatible with mem_cache_store,2011-05-16 03:57:42,2011-05-21 15:12:07,closed,2
730,AssociationCollection#load_target triggers MassAssignmentSecurity warning,2011-05-16 03:57:51,2011-05-21 15:12:07,closed,7
731,Migrations rollback in production environment,2011-05-16 03:58:05,2011-05-21 15:12:07,closed,5
732,Memoizable#prime_cache is broken for private and protected methods,2011-05-16 03:58:16,2011-05-21 15:12:07,closed,4
